,session,mouse_name,trial_type,contrast_right,contrast_left,stim_loc,mouse_resp,ideal_resp,prev_acc,pres_acc,contrast_diff,pres_difficulty,prev_difficulty,gocue_onset,resp_time,latency,wheel_velocity,wheel_acceleration,feedback_onset,feedback_type,prev_feedback
0,26.0,Radnitz,B,0.0,1.0,1,1.0,1.0,,1.0,1.0,0.0,,1027.2162500970835,1150.203632659725,122.98738256264141,"[[-0.135  0.     0.    ...  0.135  0.     0.135]
 [ 0.    -0.135  0.    ...  0.135  0.     0.   ]
 [ 0.     0.    -0.135 ... -0.135  0.     0.   ]
 ...
 [ 0.     0.     0.    ...  0.     0.     0.   ]
 [ 0.     0.     0.    ...  0.     0.     0.   ]
 [ 0.     0.     0.    ...  0.27   0.405  0.27 ]]","[ 0.0135  0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.     -0.0135  0.0135  0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.0135 -0.0135  0.      0.      0.      0.
 -0.0135  0.0135  0.      0.      0.      0.      0.      0.      0.
 -0.0135  0.0135 -0.0135  0.0135  0.      0.      0.      0.      0.
  0.     -0.0135  0.0135  0.      0.      0.      0.      0.      0.
  0.      0.027   0.027   0.0405  0.0135  0.054   0.027   0.027   0.0135
  0.     -0.0135  0.     -0.0405 -0.0135 -0.027  -0.0405 -0.0405 -0.027
 -0.0135  0.      0.027   0.027   0.0405  0.054   0.0405  0.0405  0.
  0.0135  0.     -0.027  -0.0135 -0.027  -0.027  -0.027  -0.027  -0.027
  0.     -0.0135  0.0135  0.027   0.027   0.0135  0.      0.0135  0.0135
 -0.0135  0.     -0.0135 -0.0135 -0.0135 -0.0405 -0.0135 -0.027   0.0135
  0.      0.0135  0.0135 -0.0135  0.027   0.      0.0135  0.0135  0.0135
  0.0135  0.027   0.      0.0135  0.      0.0135 -0.0135 -0.0135 -0.0135
 -0.0405 -0.027  -0.0405  0.     -0.027   0.      0.0135  0.0135  0.0405
  0.0405  0.054   0.0405  0.0135  0.      0.      0.     -0.0135 -0.027
 -0.027  -0.0405 -0.027  -0.0135 -0.0135  0.      0.      0.0135  0.0135
  0.0135  0.0135  0.0135  0.      0.027   0.     -0.0135 -0.027   0.
 -0.027  -0.0135 -0.027  -0.027  -0.0135 -0.0135 -0.0135 -0.0135  0.
  0.      0.      0.0135  0.      0.0135  0.      0.0135  0.      0.0135
 -0.0135 -0.0135  0.     -0.027  -0.0135 -0.027   0.0135  0.      0.
  0.0135  0.0135  0.0135  0.0135  0.      0.0135 -0.027  -0.0135 -0.0135
 -0.027   0.0135  0.0135  0.0135  0.0135  0.027   0.      0.      0.
 -0.0135  0.      0.     -0.0135  0.0135  0.      0.0135 -0.0135  0.0135
  0.     -0.0135  0.     -0.0135  0.     -0.0135  0.      0.      0.0135
  0.0135 -0.0135  0.0135  0.      0.     -0.0135  0.     -0.0135  0.
  0.      0.0135  0.      0.0135 -0.0135  0.0135]",1186.8187947551405,1.0,
1,26.0,Radnitz,A,0.5,0.0,-1,-1.0,-1.0,1.0,1.0,-0.5,0.5,0.0,874.4138138580553,1399.5028681981266,525.0890543400714,"[[-0.135  0.     0.    ...  0.135  0.     0.135]
 [ 0.    -0.135  0.    ...  0.135  0.     0.   ]
 [ 0.     0.    -0.135 ... -0.135  0.     0.   ]
 ...
 [ 0.     0.     0.    ...  0.     0.     0.   ]
 [ 0.     0.     0.    ...  0.     0.     0.   ]
 [ 0.     0.     0.    ...  0.27   0.405  0.27 ]]","[-0.0135  0.0135 -0.0135  0.0135  0.0135 -0.0135  0.0135  0.      0.
 -0.0135  0.0135  0.     -0.0135  0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
 -0.0135  0.0135  0.      0.0135 -0.0135  0.      0.0135 -0.0135  0.
  0.     -0.0135  0.0135  0.      0.0135 -0.0135  0.      0.      0.
  0.      0.     -0.0135  0.0135 -0.0135  0.0135 -0.0135  0.0135 -0.0135
  0.027  -0.0135  0.0135  0.     -0.0135  0.      0.      0.      0.
  0.     -0.0135  0.0135  0.      0.      0.     -0.027  -0.0135 -0.0135
 -0.0405  0.     -0.027   0.      0.      0.      0.      0.0135 -0.0135
  0.     -0.0135  0.     -0.0135  0.      0.      0.0135 -0.0135  0.0135
 -0.0135  0.0135  0.     -0.0135  0.0135 -0.0135  0.0135  0.      0.0135
  0.      0.0135  0.0135  0.      0.      0.0135 -0.0135  0.0135  0.
 -0.0135  0.0135  0.     -0.027   0.0135 -0.0135 -0.0135  0.     -0.027
  0.      0.     -0.0135  0.0135  0.      0.0135  0.0135 -0.0135  0.0135
  0.      0.      0.0135 -0.0135  0.0135 -0.0135  0.027   0.      0.
  0.0135  0.0135  0.0135  0.      0.0135  0.      0.      0.      0.0135
 -0.0135  0.      0.0135  0.      0.      0.027   0.      0.027   0.
  0.027   0.      0.      0.      0.0135 -0.027   0.     -0.0135 -0.0135
  0.     -0.0135  0.      0.      0.      0.      0.     -0.0135  0.
 -0.0135 -0.0135 -0.0135 -0.027   0.     -0.027   0.      0.      0.
  0.      0.      0.0135 -0.0135  0.      0.0135  0.     -0.0135  0.0135
  0.      0.0135  0.0135  0.      0.      0.0135 -0.0135  0.      0.0135
  0.      0.0135  0.      0.      0.027   0.0135  0.0135  0.0135  0.0135
  0.      0.0135  0.0135  0.      0.     -0.0135  0.     -0.0135 -0.027
 -0.0135 -0.027   0.      0.     -0.0135  0.0135  0.      0.      0.0135
  0.0135  0.      0.      0.0135  0.      0.     -0.0135  0.      0.
  0.      0.      0.     -0.0135  0.      0.      0.0135  0.      0.
  0.      0.      0.      0.0135 -0.0135  0.    ]",1437.6227935035358,1.0,1.0
2,26.0,Radnitz,C,0.5,1.0,2,1.0,-1.0,1.0,0.0,0.5,0.5,0.5,825.2130294145701,949.2910453999315,124.07801598536139,"[[-0.135  0.     0.    ...  0.135  0.     0.135]
 [ 0.    -0.135  0.    ...  0.135  0.     0.   ]
 [ 0.     0.    -0.135 ... -0.135  0.     0.   ]
 ...
 [ 0.     0.     0.    ...  0.     0.     0.   ]
 [ 0.     0.     0.    ...  0.     0.     0.   ]
 [ 0.     0.     0.    ...  0.27   0.405  0.27 ]]","[ 0.     -0.0135  0.0135  0.     -0.0135  0.0135  0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.     -0.0135  0.0135  0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.0135  0.027   0.0135  0.0135  0.      0.0135
  0.0135  0.0135 -0.0135  0.0135  0.     -0.0135  0.     -0.0135  0.0135
  0.      0.0135  0.      0.0135  0.     -0.0135 -0.0135 -0.0135 -0.0135
 -0.027  -0.0135  0.0135 -0.0135  0.027   0.      0.0135  0.027   0.0135
  0.0135  0.0135  0.0135  0.0135  0.      0.0135  0.0135 -0.0135  0.
  0.     -0.027  -0.0135  0.     -0.0135 -0.0135  0.      0.      0.0135
  0.      0.      0.0135  0.      0.      0.     -0.027   0.     -0.027
  0.     -0.027   0.0135 -0.0135  0.027   0.      0.027   0.0135  0.027
  0.0135  0.0135  0.     -0.0135 -0.027   0.     -0.0135  0.     -0.027
 -0.0135  0.     -0.027  -0.0135 -0.0135  0.0135 -0.0135 -0.0135  0.
 -0.0135  0.     -0.0135  0.      0.      0.0135  0.      0.      0.
  0.      0.      0.027   0.      0.0135  0.      0.0135 -0.0135  0.
 -0.0135 -0.0135 -0.0135 -0.0135 -0.0135 -0.0135  0.      0.0135  0.
  0.      0.027   0.      0.0135  0.      0.     -0.0135  0.      0.
  0.      0.      0.      0.0135 -0.0135  0.0135 -0.0135  0.0135 -0.0135
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.0135
 -0.0135  0.      0.      0.     -0.0135  0.0135  0.     -0.0135  0.0135
  0.      0.      0.      0.      0.      0.      0.     -0.0135  0.0135
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.     -0.0135  0.0135  0.    ]",986.0155932054084,1.0,1.0
3,26.0,Radnitz,E,0.0,0.0,-1,0.0,0.0,0.0,1.0,0.0,1.0,0.5,761.6120153779065,2266.8016723032733,1505.1896569253668,"[[-0.135  0.     0.    ...  0.135  0.     0.135]
 [ 0.    -0.135  0.    ...  0.135  0.     0.   ]
 [ 0.     0.    -0.135 ... -0.135  0.     0.   ]
 ...
 [ 0.     0.     0.    ...  0.     0.     0.   ]
 [ 0.     0.     0.    ...  0.     0.     0.   ]
 [ 0.     0.     0.    ...  0.27   0.405  0.27 ]]","[ 0.      0.      0.      0.      0.0135 -0.0135  0.      0.      0.
 -0.0135  0.0135  0.      0.      0.      0.      0.0135 -0.0135  0.
  0.0135 -0.0135  0.      0.     -0.0135  0.0135 -0.0135  0.0135  0.
  0.      0.      0.0135 -0.0135  0.      0.      0.      0.      0.
  0.      0.0135 -0.0135  0.     -0.0135  0.0135  0.      0.      0.
  0.      0.0135 -0.027   0.0135  0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
 -0.0135  0.0135 -0.0135  0.      0.      0.0135  0.      0.      0.
  0.0135 -0.0135  0.0135 -0.0135  0.0135  0.     -0.0135  0.      0.
  0.      0.      0.      0.     -0.0135  0.0135  0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.0135 -0.0135  0.      0.      0.      0.
 -0.0135  0.0135  0.      0.0135 -0.0135  0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.     -0.0135  0.0135 -0.0135  0.027   0.0135  0.0135  0.0135
  0.027   0.0135  0.     -0.0135 -0.0135 -0.027  -0.027  -0.027  -0.027
 -0.027  -0.0135  0.     -0.027  -0.0135  0.      0.0135  0.027   0.0405
  0.0135  0.0135  0.0135  0.      0.027  -0.0135  0.0135 -0.027  -0.027
  0.     -0.0135  0.     -0.0135  0.0135  0.0135  0.      0.      0.
  0.      0.      0.0135  0.      0.      0.      0.      0.0135  0.
  0.0135  0.      0.     -0.0135  0.      0.     -0.0135  0.     -0.0135
  0.0135 -0.0135  0.0135 -0.027   0.      0.      0.      0.027  -0.0135
  0.027   0.0135  0.      0.      0.      0.     -0.0135  0.      0.
 -0.0135  0.      0.0135 -0.0135  0.0135  0.      0.0135 -0.0135  0.0135
 -0.0135  0.      0.      0.      0.     -0.0135  0.0135  0.      0.
  0.      0.0135 -0.0135  0.0135 -0.0135  0.      0.      0.      0.
  0.     -0.0135  0.0135  0.      0.0135 -0.0135  0.      0.      0.
  0.      0.      0.      0.      0.      0.    ]",2296.4364861873746,1.0,1.0
4,26.0,Radnitz,C,1.0,0.5,2,1.0,-1.0,1.0,0.0,-0.5,0.5,1.0,662.0104273582115,816.7758372132141,154.76540985500264,"[[-0.135  0.     0.    ...  0.135  0.     0.135]
 [ 0.    -0.135  0.    ...  0.135  0.     0.   ]
 [ 0.     0.    -0.135 ... -0.135  0.     0.   ]
 ...
 [ 0.     0.     0.    ...  0.     0.     0.   ]
 [ 0.     0.     0.    ...  0.     0.     0.   ]
 [ 0.     0.     0.    ...  0.27   0.405  0.27 ]]","[ 0.      0.      0.      0.      0.      0.      0.     -0.0135  0.0135
  0.      0.      0.0135 -0.0135  0.      0.      0.     -0.0135  0.0135
  0.      0.      0.      0.      0.      0.      0.0135 -0.0135  0.
  0.      0.      0.      0.     -0.0135  0.0135  0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.     -0.0135
  0.0135 -0.027   0.     -0.0135  0.0135  0.      0.0135  0.027   0.0135
  0.054   0.0405  0.0405  0.027   0.0405  0.0135 -0.0135 -0.027  -0.027
 -0.0405 -0.0405 -0.027  -0.027   0.      0.0135  0.054   0.054   0.027
  0.0405  0.      0.0135 -0.0135 -0.027  -0.0405 -0.0405 -0.027  -0.0405
 -0.027  -0.027   0.      0.0135  0.0135  0.0405  0.027   0.027   0.0405
  0.027   0.0405  0.      0.      0.     -0.027  -0.027  -0.0135 -0.0405
 -0.0135 -0.0135  0.      0.      0.0405  0.027   0.0135  0.0135  0.
  0.     -0.027  -0.0405 -0.0135 -0.0405 -0.0135 -0.027  -0.0135  0.
  0.      0.0135  0.      0.      0.      0.      0.      0.0135  0.
  0.0135 -0.0135  0.027   0.     -0.0135  0.0135 -0.0135  0.     -0.0135
  0.0135  0.      0.0135  0.      0.     -0.0135  0.      0.     -0.027
  0.0135 -0.027  -0.0135  0.      0.     -0.0135  0.     -0.0135 -0.0135
  0.      0.0135 -0.0135 -0.0135  0.      0.      0.     -0.0135  0.
  0.      0.0135  0.      0.0135  0.      0.      0.0135  0.0135 -0.0135
  0.027   0.0135  0.027   0.0135  0.      0.027   0.0135  0.      0.0135
  0.0135  0.     -0.0135 -0.0135 -0.027   0.     -0.027  -0.0135  0.
 -0.027  -0.0135 -0.0135  0.0135 -0.0135  0.0135  0.0135  0.      0.
  0.      0.0135  0.      0.      0.0135  0.      0.0135  0.      0.0135
  0.0135  0.0135  0.027   0.0135 -0.0135 -0.0135 -0.054  -0.054  -0.054
 -0.027  -0.027   0.     -0.0135  0.0135  0.0135  0.      0.0135  0.
  0.027   0.      0.      0.027  -0.0135  0.0135 -0.0135  0.     -0.027
  0.     -0.0135  0.0135  0.      0.027   0.0135]",827.6130676801188,-1.0,1.0
5,26.0,Radnitz,E,0.0,0.0,-1,1.0,0.0,0.0,0.0,0.0,1.0,0.5,1186.8187947551546,1517.1069485727458,330.28815381759114,"[[-0.135  0.     0.    ...  0.135  0.     0.135]
 [ 0.    -0.135  0.    ...  0.135  0.     0.   ]
 [ 0.     0.    -0.135 ... -0.135  0.     0.   ]
 ...
 [ 0.     0.     0.    ...  0.     0.     0.   ]
 [ 0.     0.     0.    ...  0.     0.     0.   ]
 [ 0.     0.     0.    ...  0.27   0.405  0.27 ]]","[ 0.     -0.0135  0.0135  0.      0.      0.0135 -0.0135  0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.     -0.0135  0.0135  0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.0135 -0.0135  0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.0135 -0.0135  0.
  0.     -0.0135  0.0135  0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.0135 -0.0135  0.0135  0.      0.0135  0.0135
  0.      0.0135  0.      0.0135 -0.0135 -0.0135  0.0135 -0.0135  0.0135
  0.0135  0.      0.      0.027   0.0135  0.027   0.027   0.      0.0135
 -0.0135  0.      0.      0.      0.      0.     -0.0135  0.      0.0135
  0.0135 -0.0135  0.027  -0.027   0.     -0.027  -0.0135 -0.027  -0.0135
 -0.027   0.     -0.0135 -0.0135  0.     -0.0135 -0.0135 -0.0135  0.
 -0.027  -0.0135 -0.0135 -0.0135 -0.0135 -0.027  -0.0135  0.      0.
  0.0135  0.0135  0.027   0.      0.0135  0.0135  0.      0.027   0.0135
  0.0135  0.0135  0.0135  0.      0.0135 -0.0135]",1546.8245345853547,-1.0,-1.0
6,26.0,Radnitz,E,0.0,0.0,-1,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,588.0092475042318,1133.2104261406926,545.2011786364608,"[[-0.135  0.     0.    ...  0.135  0.     0.135]
 [ 0.    -0.135  0.    ...  0.135  0.     0.   ]
 [ 0.     0.    -0.135 ... -0.135  0.     0.   ]
 ...
 [ 0.     0.     0.    ...  0.     0.     0.   ]
 [ 0.     0.     0.    ...  0.     0.     0.   ]
 [ 0.     0.     0.    ...  0.27   0.405  0.27 ]]","[ 0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.     -0.0135  0.0135  0.      0.      0.      0.      0.      0.
  0.      0.      0.0135 -0.0135  0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.0135 -0.027   0.0135  0.      0.      0.
  0.0135  0.      0.0135  0.      0.027   0.      0.0135  0.     -0.0135
 -0.0135 -0.027  -0.054  -0.0405 -0.0675 -0.0135  0.0135  0.027   0.054
  0.027   0.0405  0.      0.      0.0135 -0.027   0.      0.     -0.0135
 -0.0135  0.     -0.0135 -0.0135  0.0135 -0.0135  0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.0135  0.0135  0.
  0.      0.0135  0.      0.      0.     -0.027  -0.027  -0.027  -0.0135
  0.      0.0135  0.      0.027  -0.0135  0.0135  0.      0.027   0.0135
  0.0405  0.0405  0.027   0.0135  0.     -0.0135  0.     -0.027  -0.0135
 -0.027   0.      0.     -0.0135  0.      0.      0.      0.0135 -0.0135
  0.      0.      0.0135 -0.0135  0.0135 -0.0135  0.0135  0.     -0.0135
  0.0135 -0.0135  0.0135  0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.     -0.0135  0.0135
  0.      0.      0.      0.      0.      0.    ]",1142.0180804651636,-1.0,-1.0
7,26.0,Radnitz,E,0.0,0.0,-1,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,606.4095408733152,1349.8310443284538,743.4215034551386,"[[-0.135  0.     0.    ...  0.135  0.     0.135]
 [ 0.    -0.135  0.    ...  0.135  0.     0.   ]
 [ 0.     0.    -0.135 ... -0.135  0.     0.   ]
 ...
 [ 0.     0.     0.    ...  0.     0.     0.   ]
 [ 0.     0.     0.    ...  0.     0.     0.   ]
 [ 0.     0.     0.    ...  0.27   0.405  0.27 ]]","[ 0.      0.      0.      0.     -0.0135  0.0135  0.      0.      0.0135
 -0.0135  0.      0.      0.      0.      0.      0.      0.      0.
 -0.0135  0.0135  0.0135 -0.0135  0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
 -0.0135  0.0135  0.      0.      0.      0.      0.      0.      0.
 -0.0135  0.      0.0135  0.      0.      0.      0.      0.      0.
 -0.0135  0.0135 -0.0135  0.      0.      0.      0.      0.     -0.0135
  0.0135 -0.0135 -0.0135  0.     -0.027  -0.0135  0.     -0.0135  0.
  0.0135  0.0135  0.      0.027   0.0135  0.0135  0.      0.027   0.
  0.      0.0135 -0.0135 -0.027   0.     -0.0135  0.027   0.      0.027
  0.027   0.     -0.027  -0.054  -0.027  -0.0405  0.     -0.0135  0.
  0.027   0.0405  0.027   0.0405  0.027   0.0135  0.0135  0.     -0.027
 -0.0135 -0.0135 -0.0135 -0.0135  0.     -0.0135  0.0135  0.      0.0135
 -0.0135 -0.0135  0.     -0.027   0.      0.      0.     -0.0135  0.0135
  0.0135  0.      0.0135  0.0135  0.      0.027  -0.0135  0.0135  0.
  0.      0.      0.0135  0.      0.      0.0135 -0.0135  0.     -0.0135
  0.0135 -0.0135 -0.0135  0.      0.     -0.0135  0.      0.      0.
 -0.0135  0.0135  0.      0.      0.      0.      0.0135 -0.0135  0.0135
  0.     -0.0135  0.      0.      0.     -0.0135]",1356.8215052305136,-1.0,-1.0
8,26.0,Radnitz,E,0.0,0.0,-1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,591.2092985249444,2097.125081408876,1505.9157828839318,"[[-0.135  0.     0.    ...  0.135  0.     0.135]
 [ 0.    -0.135  0.    ...  0.135  0.     0.   ]
 [ 0.     0.    -0.135 ... -0.135  0.     0.   ]
 ...
 [ 0.     0.     0.    ...  0.     0.     0.   ]
 [ 0.     0.     0.    ...  0.     0.     0.   ]
 [ 0.     0.     0.    ...  0.27   0.405  0.27 ]]","[ 0.      0.0135 -0.0135  0.      0.      0.      0.0135 -0.0135  0.0135
 -0.0135  0.0135 -0.0135  0.0135 -0.0135 -0.0135  0.0135  0.     -0.0135
  0.0135  0.      0.0135 -0.0135  0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.0135 -0.0135  0.0135  0.      0.0135  0.0135  0.     -0.0135
  0.     -0.0135 -0.0135  0.      0.      0.     -0.0135  0.0135  0.
  0.      0.      0.0135  0.      0.     -0.0135  0.     -0.0135 -0.0135
  0.      0.0135 -0.0135  0.      0.027   0.      0.0135  0.0135  0.
  0.027  -0.0135  0.0135  0.     -0.027  -0.0135 -0.027   0.      0.0135
 -0.0135  0.027   0.      0.027   0.0135  0.0405 -0.0135 -0.0135 -0.027
 -0.0135 -0.0405 -0.0135 -0.027   0.     -0.0135  0.0135  0.0135  0.0135
  0.027   0.      0.027   0.0135  0.      0.      0.0135  0.     -0.0135
  0.      0.     -0.0135  0.0135 -0.0135 -0.0135  0.0135  0.      0.
 -0.0135  0.      0.     -0.0135  0.      0.     -0.0135  0.      0.
  0.      0.0135 -0.0135  0.0135  0.      0.0135 -0.0135  0.0135 -0.0135
  0.0135 -0.0135  0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.     -0.0135  0.0135  0.
  0.      0.      0.      0.0135 -0.0135  0.      0.      0.0135 -0.0135
  0.      0.      0.0135 -0.0135  0.      0.    ]",2137.6339542845103,1.0,-1.0
9,26.0,Radnitz,C,0.5,1.0,2,1.0,-1.0,1.0,0.0,0.5,0.5,1.0,1071.2169516318966,1249.6675585173875,178.45060688549097,"[[-0.135  0.     0.    ...  0.135  0.     0.135]
 [ 0.    -0.135  0.    ...  0.135  0.     0.   ]
 [ 0.     0.    -0.135 ... -0.135  0.     0.   ]
 ...
 [ 0.     0.     0.    ...  0.     0.     0.   ]
 [ 0.     0.     0.    ...  0.     0.     0.   ]
 [ 0.     0.     0.    ...  0.27   0.405  0.27 ]]","[ 0.      0.      0.      0.      0.      0.0135 -0.0135  0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.0135 -0.0135  0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.     -0.0135  0.      0.0135 -0.0135  0.0135
  0.      0.      0.      0.      0.027   0.0135  0.027   0.054   0.027
  0.027   0.0135  0.     -0.027   0.      0.     -0.027   0.      0.0135
  0.0405  0.027   0.0135  0.027   0.0135 -0.0135  0.     -0.0135 -0.0135
 -0.0405 -0.0135 -0.027  -0.0135  0.0135  0.      0.0135  0.0135  0.027
  0.      0.      0.0135 -0.0135 -0.0135 -0.0135 -0.027  -0.0135 -0.0135
 -0.0135  0.      0.0135  0.027   0.0135  0.0135  0.      0.0135 -0.0135
  0.      0.0135 -0.0135  0.      0.     -0.0135 -0.0135 -0.0135  0.0135
  0.      0.027  -0.0135  0.0135  0.     -0.0135 -0.0135 -0.027  -0.0135
 -0.0405 -0.0405 -0.027  -0.0135  0.      0.      0.027   0.      0.0135
  0.      0.0135  0.      0.027   0.      0.027   0.027   0.      0.0135
  0.      0.      0.     -0.0135  0.     -0.0135  0.0135 -0.027   0.
  0.     -0.0135 -0.0135  0.      0.      0.      0.      0.      0.
 -0.0135 -0.0135  0.0135  0.      0.      0.     -0.0135 -0.0135 -0.0135
  0.0135  0.      0.      0.      0.0135 -0.0135 -0.0135 -0.0135 -0.027
  0.      0.      0.      0.027  -0.0135  0.027   0.      0.0135 -0.0135
  0.      0.0135 -0.027   0.      0.     -0.027   0.      0.      0.0135
  0.0135  0.      0.0135  0.      0.0135  0.      0.     -0.0135 -0.0135
  0.     -0.0135  0.0135  0.      0.      0.0135 -0.0135  0.0135 -0.0135
  0.0135 -0.027   0.0135 -0.0135  0.0135 -0.0135  0.0135  0.      0.
  0.0135 -0.0135  0.0135 -0.0135  0.     -0.0135  0.0135 -0.0135  0.0135
  0.      0.      0.0135 -0.0135  0.      0.    ]",1286.8203891524388,1.0,1.0
